id,goals_home,goals_away,odds_home_win,odds_away_win,draw,fixture_id
506,0,2,NaN,NaN,NaN,506
507,0,4,NaN,NaN,NaN,507
508,3,1,NaN,NaN,NaN,508
509,2,2,NaN,NaN,NaN,509
510,2,1,1.8,5.5,3.7,510
511,1,4,4,2.1,3.4,511
512,0,1,5.5,1.66,3.9,512
513,1,1,3.4,2.3,3.3,513
514,0,2,3.1,2.5,3.2,514
515,2,1,2.45,3.1,3.3,515
516,3,1,7,1.61,3.8,516
517,3,2,1.22,15,7,517
518,1,1,1.28,11,5.5,518
519,4,2,2.05,3.7,3.4,519
520,3,0,NaN,NaN,NaN,520
521,3,1,1.44,8.5,4.5,521
522,2,1,1.33,12,5,522
523,0,2,3,2.45,3.4,523
524,2,0,2.8,2.7,3.25,524
525,1,1,2.45,2.9,3.5,525
526,3,0,1.85,4.75,3.5,526
527,2,1,1.3,12,5.5,527
528,0,0,2.5,3,3,528
529,1,0,2,4,3.25,529
530,2,1,2.7,3,3.25,530
531,1,2,3.1,2.45,3.3,531
532,0,5,6.5,1.55,4.2,532
533,1,3,1.75,5.5,3.7,533
534,0,0,2.15,3.75,3.4,534
535,0,2,3,2.62,3.2,535
536,1,3,4.75,1.9,3.5,536
537,2,0,1.66,5,3.75,537
538,2,1,1.6,5.5,4,538
539,1,0,1.65,5.5,3.8,539
540,1,0,2.62,3,3.2,540
541,2,0,2.15,3.75,3.4,541
542,0,0,1.95,3.9,3.4,542
543,1,0,1.72,5,3.5,543
544,0,1,3.5,2.1,3.4,544
545,0,3,2.45,3,3.1,545
546,2,1,2.25,3.4,3.2,546
547,2,0,1.61,5.8,3.75,547
548,5,3,1.44,6.5,4.4,548
549,3,4,1.53,7,3.9,549
550,3,1,2,3.75,3.3,550
551,2,1,1.66,5,3.7,551
552,3,0,2.05,3.4,3.6,552
553,4,3,2.5,2.75,3.4,553
554,3,3,3.1,2.2,3.5,554
555,1,1,2.25,3,3.5,555
556,3,1,1.28,10,5.5,556
557,0,0,2.05,3.4,3.6,557
558,1,0,1.9,4,3.6,558
559,1,0,2,4,3.2,559
560,2,1,1.25,11,5.8,560
561,1,2,3.75,1.95,3.5,561
562,0,1,3.9,1.9,3.6,562
563,1,0,1.28,11,5.5,563
564,0,0,2.7,2.6,3.3,564
565,1,4,2.62,2.8,3,565
566,1,0,1.4,7.5,4.75,566
567,3,0,1.2,15,6.5,567
568,0,1,NaN,NaN,NaN,568
569,3,1,NaN,NaN,NaN,569
570,4,1,2.8,2.7,3.4,570
571,0,1,4.33,2,3.5,571
572,0,0,1.8,5.5,3.6,572
573,4,1,1.75,5.5,3.75,573
574,3,1,1.18,23,8,574
575,2,1,2.05,4,3.5,575
576,2,1,5,1.85,3.4,576
577,2,2,2.37,3.2,3.4,577
578,0,3,3.25,2.25,3.2,578
579,1,2,3.4,2.1,3.4,579
580,2,0,1.57,6,3.9,580
581,2,0,3.1,2.3,3.3,581
582,1,0,2.45,3,3.2,582
583,2,2,1.6,5.5,3.9,583
584,0,1,5.5,1.6,3.9,584
585,1,3,2.75,2.6,3.3,585
586,1,0,1.75,4.5,3.7,586
587,1,0,1.28,9.5,5.8,587
588,0,1,1.53,7.5,4.2,588
589,3,0,1.22,17,6.5,589
590,1,1,2.37,3.1,3.2,590
591,1,1,2.5,2.9,3.1,591
592,3,3,1.61,5.5,3.8,592
593,4,1,2.4,3.2,3,593
594,3,2,4.5,1.75,3.75,594
595,0,2,7.5,1.5,4,595
596,2,1,3.1,2.37,3.25,596
597,1,1,1.11,23,9.5,597
598,1,2,4.2,1.85,3.6,598
599,1,7,NaN,NaN,NaN,599
600,0,1,1.8,5,3.7,600
601,2,0,1.4,10,4.75,601
602,0,0,2.87,2.87,3.1,602
603,1,1,3.6,2.15,3.5,603
604,0,1,2.05,3.9,3.5,604
605,2,6,5.8,1.65,4,605
606,1,0,2.4,3.4,3.2,606
607,1,0,1.6,7,3.9,607
608,4,0,1.6,5.8,3.8,608
609,0,2,15,1.2,6.5,609
610,0,1,3.4,2.1,3.5,610
611,2,0,1.3,9.5,5.5,611
612,3,0,1.61,5.5,3.9,612
613,0,2,8.5,1.33,5,613
614,2,0,1.28,11,5.5,614
615,1,3,3.9,1.9,3.5,615
616,1,3,2.1,3.5,3.4,616
617,5,3,1.36,9,4.75,617
618,3,1,2.05,3.5,3.4,618
619,0,2,8,1.36,4.8,619
620,1,1,2.15,3.25,3.5,620
621,4,1,1.16,21,8,621
622,1,0,1.28,11,5.5,622
623,1,2,5.5,1.7,3.8,623
624,0,1,5,1.8,3.7,624
625,1,3,8.5,1.5,4.2,625
626,5,0,3.4,2.2,3.6,626
627,1,1,1.72,5.5,3.75,627
628,1,2,2.25,3.6,3.3,628
629,4,1,1.44,7,4.4,629
630,2,1,2.25,3.4,3.4,630
631,0,2,1.6,6,4.2,631
632,2,0,1.15,29,8,632
633,1,1,3.1,2.3,3.2,633
